Fichero Partido,Género Partido,Fase Partido,ID Partido,Ronda Partido,Flag Exento Partido,Torneo,Tipo Torneo
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_46,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_47,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_48,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_49,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_50,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_51,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_52,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_53,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_54,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_55,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_56,Pre Previa Ronda 3,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_1,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_2,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_3,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_4,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_5,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_6,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_7,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
